keys,en,es
NEW-GAME,"New game","Nuevo juego"
EXIT,"Exit","Salir"
OPTIONS,"Options","Opciones"
CREDITS,"Credits","Créditos"
MADE-WITH,"Made with","Hecho con"
PROGRAMMING,"Programming","Programación"
GRAPHIC-ART,"Graphic art","Arte gráfica"
SFX,"Sound effects","Efectos de sonido"
TRANSLATES,"Translates","Traducciones"
HISTORY,"History","Historia"
TESTING,"Testing","Pruebas"
BY,"by","por"
RETURN,"Return","Regresar"
LANGUAGE,"Language","Idioma"
DIFFICULTY,"Difficulty","Dificultad"
EASY,"Easy","Fácil"
NORMAL,"Normal","Normal"
HARD,"Hard","Difícil"
FULL-SCREEN,"Full screen","Pantalla completa"
VOLUME,"Volume","Volumen"
MUSIC-VOLUME,"Music volume","Volumen de música"
SFX-VOLUME,"SFX volume","Volumen de sonidos"
GAME-PAUSED,"Game paused","Juego pausado"
RESUME,"Resume","Volver"
LOST-MESSAGE,"You've lost!","Has perdido!"
WON-MESSAGE,"You won!","Has ganado!"
HUD-TIME,"Time: ","Tiempo: "
HUD-HURRY-UP,"Hurry up!","Apúrate!"
SCORE-TABLE,"Score Table","Puntajes"
PLAYER-NAME,"Player name","Nombre del jugador"
SCORE,"Score","Puntaje"
CANCEL,"Cancel","Cancelar"
ACCEPT,"Accept","Aceptar"
NO-SCORES,"No scores","Sin puntajes"
RESET-SCORES,"Reset scores","Restablecer"
ENTER-PLAYER-NAME,"Enter player's name","Ingrese el nombre del jugador"
DATE,"Date","Fecha"
